,time,size,src,dst,protocol
429,1541358731.1432147,40,52.94.227.146,192.168.86.40,6
430,1541358731.1429102,40,52.94.227.146,192.168.86.40,6
431,1541358731.1425843,276,192.168.86.40,52.94.227.146,6
432,1541358731.1422434,40,52.94.227.146,192.168.86.40,6
433,1541358731.1418626,158,192.168.86.40,52.94.227.146,6
434,1541358731.1415212,959,192.168.86.40,52.94.227.146,6
435,1541358731.1412144,1500,192.168.86.40,52.94.227.146,6
436,1541358731.140888,1500,192.168.86.40,52.94.227.146,6
437,1541358731.1405447,176,192.168.86.40,52.94.227.146,6
438,1541358731.1402216,273,192.168.86.40,52.94.227.146,6
439,1541358731.1399245,158,192.168.86.40,52.94.227.146,6
440,1541358731.1396415,40,52.94.227.146,192.168.86.40,6
441,1541358731.1393442,40,52.94.227.146,192.168.86.40,6
442,1541358731.1390374,40,52.94.227.146,192.168.86.40,6
443,1541358731.138758,40,52.94.227.146,192.168.86.40,6
444,1541358731.138464,158,192.168.86.40,52.94.227.146,6
445,1541358731.1381679,158,192.168.86.40,52.94.227.146,6
446,1541358731.1378691,158,192.168.86.40,52.94.227.146,6
447,1541358731.1375709,158,192.168.86.40,52.94.227.146,6
448,1541358731.1372907,40,52.94.227.146,192.168.86.40,6
449,1541358731.136948,40,52.94.227.146,192.168.86.40,6
450,1541358731.1366098,40,52.94.227.146,192.168.86.40,6
